Date,Open,High,Low,Close,Adj Close,Volume
2019-06-04,40.303604,40.559772,39.886147,40.066414,36.349831,18453537
2019-06-05,40.417458,40.645161,40.237190,40.303604,36.565022,21418861
2019-06-06,40.607212,40.882355,40.303604,40.521824,36.762997,24494222
2019-06-07,40.777988,41.034157,40.664139,40.721062,36.943760,20023470
2019-06-10,41.024670,41.024670,40.483871,40.863377,37.072872,15275727
2019-06-11,40.986717,41.081593,40.370018,40.483871,36.728565,18813162
2019-06-12,40.294117,40.958256,40.284630,40.872864,37.081478,16296843
2019-06-13,40.863377,40.929790,40.199242,40.322582,36.582237,14464042
2019-06-14,40.341557,40.673622,40.303604,40.569260,36.806030,13197872
2019-06-17,40.512333,40.702087,40.180267,40.683113,36.909321,14094931
2019-06-18,40.626186,41.110058,40.626186,40.863377,37.072872,22833434
2019-06-19,40.958256,41.356735,40.882355,41.271347,37.442997,21753611
2019-06-20,41.584438,41.850094,41.280834,41.366222,37.529068,23500300
2019-06-21,41.318787,41.745731,41.091084,41.432636,37.589321,38141203
2019-06-24,41.451614,41.650852,41.242886,41.518028,37.666798,24624075
2019-06-25,41.603416,42.020874,41.518028,41.518028,37.666798,28429015
2019-06-26,41.442123,41.555977,40.322582,40.787476,37.004009,41009348
2019-06-27,40.815941,41.328274,40.806454,41.204933,37.382744,21994977
2019-06-28,41.223907,41.480076,40.777988,41.100571,37.288059,39726209
2019-07-01,41.280834,41.631878,41.119545,41.527515,37.675407,21341392
2019-07-02,41.442123,41.954460,41.423149,41.954460,38.062740,16541898
2019-07-03,42.096775,42.277039,41.726753,42.125237,38.217682,10297580
2019-07-05,42.039848,42.077801,41.537003,41.669830,37.804512,18295227
2019-07-08,41.555977,41.622391,40.777988,41.081593,37.270844,23955312
2019-07-09,41.195446,41.555977,41.081593,41.148006,37.331097,14223308
2019-07-10,41.413662,41.850094,41.214420,41.802658,37.925026,15298599
2019-07-11,41.100571,41.328274,40.208729,40.777988,36.995399,38383518
2019-07-12,40.711575,40.787476,39.857685,40.227703,36.496159,33580967
2019-07-15,40.104362,40.578747,40.075901,40.559772,36.797428,20363912
2019-07-16,40.597721,40.768501,40.303604,40.654648,36.883503,19553386
2019-07-17,40.882355,40.977230,40.540798,40.550285,36.788822,16341532
2019-07-18,40.664139,40.853889,40.370018,40.853889,37.064259,13728877
2019-07-19,40.977230,40.996204,40.578747,40.578747,36.814644,23552579
2019-07-22,40.635674,40.815941,40.370018,40.626186,36.857685,12552086
2019-07-23,40.654648,41.015179,40.559772,40.882355,37.090084,19586904
2019-07-24,40.796963,40.796963,40.199242,40.692600,36.917938,18117838
2019-07-25,40.635674,40.796963,40.351044,40.483871,36.728565,17514634
2019-07-26,40.474384,40.958256,40.256168,40.882355,37.090084,21062187
2019-07-29,40.009487,40.796963,39.222012,39.326378,35.678448,64559186
2019-07-30,37.789375,38.178368,36.622391,36.802658,33.388821,95739668
2019-07-31,36.622391,37.637569,36.537003,36.850094,33.431862,56309423
2019-08-01,36.347248,36.641365,35.749527,36.290321,33.232037,51624920
2019-08-02,36.290321,36.565464,35.815941,36.053131,33.014832,29153640
2019-08-05,35.825428,35.891842,34.544594,35.066414,32.111271,46030183
2019-08-06,35.284630,35.398483,34.601517,35.056927,32.102585,31985843
2019-08-07,34.772297,34.895638,34.022770,34.705883,31.781118,32017253
2019-08-08,34.819733,35.056927,34.724857,34.981026,32.033081,23356429
2019-08-09,34.886147,34.943073,34.259960,34.487667,31.581293,25391703
2019-08-12,34.449715,34.459202,32.998100,33.576851,30.747234,44212665
2019-08-13,33.614799,33.975330,33.349148,33.396584,30.582161,45549453
2019-08-14,33.140415,33.187855,32.447819,32.485767,29.748102,38633421
2019-08-15,32.542694,32.808350,32.229603,32.713470,29.956614,30713665
2019-08-16,32.941177,33.216320,32.722961,32.874763,30.104317,30012334
2019-08-19,33.092979,33.510437,33.045540,33.377609,30.564789,21997296
2019-08-20,33.301708,33.358635,32.798862,32.836811,30.069563,19932510
2019-08-21,33.149906,33.320683,33.036053,33.083492,30.295456,19208728
2019-08-22,33.168880,33.425049,33.017078,33.282730,30.477898,16933142
2019-08-23,33.406071,33.538898,32.419353,32.580647,29.834988,27765311
2019-08-26,32.846298,33.074005,32.713470,33.055027,30.269386,17468680
2019-08-27,33.216320,33.292221,32.552181,32.580647,29.834988,24715351
2019-08-28,32.599621,33.349148,32.523720,33.282730,30.477898,26047924
2019-08-29,33.956356,33.956356,33.425049,33.519924,30.695105,19610302
2019-08-30,33.795067,33.889942,33.472485,33.728653,30.886248,18873346
2019-09-03,33.785580,34.421253,33.690701,34.269451,31.381470,26624989
2019-09-04,34.440228,34.535103,33.870968,33.994308,31.129517,20649441
2019-09-05,34.259960,34.611008,34.051231,34.478176,31.572603,22096794
2019-09-06,34.497154,34.696396,34.259960,34.629982,31.711615,20873416
2019-09-09,34.715370,34.952560,34.278938,34.943073,31.998322,24675616
2019-09-10,34.715370,35.464897,34.174572,35.464897,32.476170,32250397
2019-09-11,35.806454,35.825428,35.009487,35.493359,32.502239,16963181
2019-09-12,35.645161,35.692600,35.161289,35.370018,32.389290,16692303
2019-09-13,35.474384,35.673622,34.734344,35.018974,32.067822,24099605
2019-09-16,34.592030,35.123341,34.487667,34.943073,31.998322,19877070
2019-09-17,34.905125,34.914612,34.487667,34.629982,31.711615,22091945
2019-09-18,34.696396,34.838711,34.402279,34.516129,31.607361,19679550
2019-09-19,34.554081,34.886147,34.478176,34.639469,31.720308,17746409
2019-09-20,35.000000,35.341557,34.611008,34.810246,31.876696,45990658
2019-09-23,34.516129,34.715370,34.373814,34.383301,31.485725,17295191
2019-09-24,34.411766,34.705883,34.136623,34.165085,31.285898,24186560
2019-09-25,34.070210,34.487667,33.870968,34.060722,31.190332,20269685
2019-09-26,34.222012,34.383301,33.747627,33.946869,31.086073,17059728
